match_id,date,time,team_name,home_away,Player,#,Pos,Age,Min,TotCmp,TotAtt,TotCmp%,TotDist,PrgDist,ShortCmp,ShortAtt,ShortCmp%,MedCmp,MedAtt,MedCmp%,LongCmp,LongAtt,LongCmp%,Ast,xA,KeyPasses,Opp1/3,PPA,CrsPA,Prog
1e930db9,"Friday June 18, 2021",17:00,Croatia,a,Antonín Barák,7.0,AM,26-197,4,2,2,100.0,24,0,1,1,100.0,1,1,100.0,0,0,,0,0.0,0,0,0,0,0
1e930db9,"Friday June 18, 2021",17:00,Croatia,a,Tomáš Souček,15.0,CM,26-111,90,50,58,86.2,1025,201,23,24,95.8,16,19,84.2,10,11,90.9,0,0.1,1,2,0,0,3
1e930db9,"Friday June 18, 2021",17:00,Croatia,a,Tomáš Holeš,9.0,CM,28-079,62,19,21,90.5,323,86,12,12,100.0,3,5,60.0,4,4,100.0,0,0.0,0,3,1,0,2
1e930db9,"Friday June 18, 2021",17:00,Croatia,a,Alex Král,21.0,CM,23-030,28,16,19,84.2,340,50,5,6,83.3,7,7,100.0,4,4,100.0,0,0.0,0,1,0,0,1
1e930db9,"Friday June 18, 2021",17:00,Croatia,a,Jan Bořil,18.0,LB,30-158,90,37,43,86.0,585,205,19,19,100.0,15,18,83.3,2,4,50.0,0,0.0,0,4,0,0,4
1e930db9,"Friday June 18, 2021",17:00,Croatia,a,Tomáš Kalas,6.0,CB,28-034,90,42,46,91.3,880,240,17,17,100.0,18,18,100.0,7,11,63.6,0,0.0,0,2,0,0,4
1e930db9,"Friday June 18, 2021",17:00,Croatia,a,Ondřej Čelůstka,3.0,CB,32-000,90,33,38,86.8,784,221,11,12,91.7,12,13,92.3,10,13,76.9,0,0.0,0,2,1,0,3
1e930db9,"Friday June 18, 2021",17:00,Croatia,a,Vladimír Coufal,5.0,RB,28-300,90,47,64,73.4,820,517,22,23,95.7,23,29,79.3,2,9,22.2,0,0.5,2,1,1,0,6
1e930db9,"Friday June 18, 2021",17:00,Croatia,a,Tomáš Vaclík,1.0,GK,32-081,90,25,43,58.1,824,560,1,1,100.0,13,13,100.0,11,28,39.3,0,0.0,0,0,0,0,0
1e930db9,"Friday June 18, 2021",17:00,Croatia,a,16 Players,,,,990,368,469,78.5,7293,2528,156,174,89.7,148,173,85.5,58,97,59.8,0,1.0,7,18,8,1,35
20b1972b,"Tuesday June 22, 2021",20:00,Czech Republic,h,Patrik Schick,10.0,FW,25-149,74,20,22,90.9,315,58,10,12,83.3,9,9,100.0,1,1,100.0,0,0.0,0,1,1,0,1
20b1972b,"Tuesday June 22, 2021",20:00,Czech Republic,h,Tomáš Pekhart,24.0,FW,32-027,16,1,4,25.0,11,0,1,4,25.0,0,0,,0,0,,0,0.0,0,0,0,0,0
20b1972b,"Tuesday June 22, 2021",20:00,Czech Republic,h,Jakub Jankto,14.0,LW,25-154,45,17,19,89.5,236,68,14,14,100.0,2,3,66.7,1,1,100.0,0,0.0,1,0,0,0,1
20b1972b,"Tuesday June 22, 2021",20:00,Czech Republic,h,Petr Ševčík,13.0,"LW,RW,DM",27-049,45,15,19,78.9,233,47,7,8,87.5,8,8,100.0,0,2,0.0,0,0.0,0,0,0,0,0
20b1972b,"Tuesday June 22, 2021",20:00,Czech Republic,h,Lukáš Masopust,12.0,RW,28-130,63,18,23,78.3,290,41,11,11,100.0,5,7,71.4,1,3,33.3,0,0.0,0,1,0,0,0
20b1972b,"Tuesday June 22, 2021",20:00,Czech Republic,h,Adam Hložek,19.0,"LW,RW",18-332,27,2,4,50.0,33,21,1,1,100.0,1,2,50.0,0,1,0.0,0,0.0,0,0,0,0,1
20b1972b,"Tuesday June 22, 2021",20:00,Czech Republic,h,Vladimír Darida,8.0,AM,30-318,63,22,29,75.9,342,92,13,16,81.3,7,9,77.8,2,4,50.0,0,0.0,0,1,1,0,1
20b1972b,"Tuesday June 22, 2021",20:00,Czech Republic,h,Alex Král,21.0,AM,23-034,27,6,10,60.0,75,18,5,5,100.0,1,3,33.3,0,1,0.0,0,0.0,0,1,0,0,0
20b1972b,"Tuesday June 22, 2021",20:00,Czech Republic,h,Tomáš Souček,15.0,DM,26-115,90,39,52,75.0,770,123,15,22,68.2,19,21,90.5,5,8,62.5,0,0.1,2,2,0,0,2
20b1972b,"Tuesday June 22, 2021",20:00,Czech Republic,h,Tomáš Holeš,9.0,DM,28-083,83,24,30,80.0,376,120,13,13,100.0,11,14,78.6,0,2,0.0,0,0.0,0,3,0,0,3
20b1972b,"Tuesday June 22, 2021",20:00,Czech Republic,h,Matěj Vydra,20.0,"DM,RW",29-052,7,0,0,,0,0,0,0,,0,0,,0,0,,0,0.0,0,0,0,0,0
20b1972b,"Tuesday June 22, 2021",20:00,Czech Republic,h,Jan Bořil,18.0,LB,30-162,90,31,45,68.9,593,182,14,17,82.4,13,19,68.4,4,9,44.4,0,0.0,0,0,0,0,0
