match_id,date,time,team_name,home_away,Player,#,Pos,Age,Min,Tkl,TklW,TklDef 3rd,TklMid 3rd,TklAtt 3rd,vsdribTkl,vsdribAttmp,vsdribTkl%,vsdribPast,Press,Succ,%,PressDef 3rd,PressMid 3rd,PressAtt 3rd,Blocks,ShAttmp,ShSv,Pass,Int,Tkl+Int,Clr,Err
0305e42c,"Tuesday June 22, 2021",20:00,Croatia,a,Scott McKenna,26.0,CB,24-222,58,1,0,1,0,0,0,0,,0,8,2,25.0,5,3,0,2,0,0,2,1,2,2,0
0305e42c,"Tuesday June 22, 2021",20:00,Croatia,a,Scott McTominay,4.0,"CB,CM",24-196,90,3,1,2,1,0,1,1,100.0,0,17,6,35.3,5,8,4,3,1,0,2,1,4,1,0
0305e42c,"Tuesday June 22, 2021",20:00,Croatia,a,David Marshall,1.0,GK,36-109,90,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,0,0
0305e42c,"Tuesday June 22, 2021",20:00,Croatia,a,15 Players,,,,990,15,7,10,5,0,4,18,22.2,14,215,44,20.5,65,99,51,13,2,0,11,17,32,10,0
04188c5c,"Monday June 21, 2021",21:00,Russia,h,Artem Dzyuba,22.0,FW,32-303,90,0,0,0,0,0,0,0,,0,4,1,25.0,2,2,0,2,1,0,1,0,0,1,0
04188c5c,"Monday June 21, 2021",21:00,Russia,h,Aleksandr Golovin,17.0,"LW,LM",25-022,90,2,2,1,1,0,1,1,100.0,0,11,3,27.3,2,8,1,1,0,0,1,0,2,0,0
04188c5c,"Monday June 21, 2021",21:00,Russia,h,Aleksei Miranchuk,15.0,RW,25-247,60,1,1,0,1,0,1,1,100.0,0,3,1,33.3,0,2,1,1,0,0,1,0,1,0,0
04188c5c,"Monday June 21, 2021",21:00,Russia,h,Aleksandr Sobolev,9.0,"FW,RW",24-106,30,0,0,0,0,0,0,0,,0,3,2,66.7,0,0,3,0,0,0,0,0,0,0,0
04188c5c,"Monday June 21, 2021",21:00,Russia,h,Roman Zobnin,11.0,DM,27-130,90,3,2,2,1,0,2,3,66.7,1,17,4,23.5,9,5,3,2,0,0,2,3,6,1,1
04188c5c,"Monday June 21, 2021",21:00,Russia,h,Magomed Ozdoyev,7.0,DM,28-228,60,4,2,1,2,1,1,2,50.0,1,15,6,40.0,5,6,4,3,0,0,3,2,6,2,0
04188c5c,"Monday June 21, 2021",21:00,Russia,h,Rifat Zhemaletdinov,19.0,"RM,DM",24-274,30,0,0,0,0,0,0,0,,0,1,0,0.0,1,0,0,0,0,0,0,0,0,0,0
04188c5c,"Monday June 21, 2021",21:00,Russia,h,Daler Kuzyaev,23.0,"WB,DM",28-157,66,3,2,3,0,0,1,2,50.0,1,11,5,45.5,10,1,0,0,0,0,0,1,4,5,0
04188c5c,"Monday June 21, 2021",21:00,Russia,h,Maksim Mukhin,26.0,DM,19-229,24,4,1,1,3,0,2,2,100.0,0,5,2,40.0,3,2,0,1,0,0,1,1,5,0,0
04188c5c,"Monday June 21, 2021",21:00,Russia,h,Mário Fernandes,2.0,"WB,RB",30-275,90,1,0,1,0,0,1,5,20.0,4,10,3,30.0,5,5,0,4,0,0,4,1,2,3,0
04188c5c,"Monday June 21, 2021",21:00,Russia,h,Fyodor Kudryashov,13.0,"CB,LB",34-077,66,4,2,1,3,0,2,3,66.7,1,6,1,16.7,1,5,0,0,0,0,0,3,7,5,0
04188c5c,"Monday June 21, 2021",21:00,Russia,h,Vyacheslav Karavayev,4.0,LB,26-032,24,0,0,0,0,0,0,0,,0,1,0,0.0,0,0,1,2,0,0,2,0,0,1,0
04188c5c,"Monday June 21, 2021",21:00,Russia,h,Igor Diveev,3.0,CB,21-267,90,3,1,3,0,0,2,3,66.7,1,9,2,22.2,6,3,0,2,2,1,0,3,6,10,0
04188c5c,"Monday June 21, 2021",21:00,Russia,h,Georgi Dzhikiya,14.0,CB,27-212,90,0,0,0,0,0,0,0,,0,4,0,0.0,2,2,0,1,1,0,0,0,0,3,0
04188c5c,"Monday June 21, 2021",21:00,Russia,h,Matvei Safonov,16.0,GK,22-116,90,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,0,0
04188c5c,"Monday June 21, 2021",21:00,Russia,h,15 Players,,,,990,25,13,13,11,1,13,22,59.1,9,100,30,30.0,46,41,13,19,4,1,15,14,39,31,1
04188c5c,"Monday June 21, 2021",21:00,Russia,a,Yussuf Poulsen,20.0,FW,27-006,59,0,0,0,0,0,0,1,0.0,1,3,0,0.0,0,1,2,0,0,0,0,0,0,0,0
04188c5c,"Monday June 21, 2021",21:00,Russia,a,Kasper Dolberg,12.0,FW,23-258,31,0,0,0,0,0,0,0,,0,3,1,33.3,0,2,1,0,0,0,0,0,0,0,0
04188c5c,"Monday June 21, 2021",21:00,Russia,a,Mikkel Damsgaard,14.0,AM,20-353,71,0,0,0,0,0,0,1,0.0,1,12,4,33.3,2,8,2,1,0,0,1,0,0,0,0
04188c5c,"Monday June 21, 2021",21:00,Russia,a,Christian Nørgaard,15.0,"AM,CM",27-103,19,0,0,0,0,0,0,0,,0,1,0,0.0,1,0,0,0,0,0,0,1,1,1,0
04188c5c,"Monday June 21, 2021",21:00,Russia,a,Martin Braithwaite,9.0,AM,30-016,84,0,0,0,0,0,0,0,,0,3,2,66.7,1,0,2,0,0,0,0,1,1,0,0
04188c5c,"Monday June 21, 2021",21:00,Russia,a,Andreas Cornelius,21.0,"AM,FW",28-097,6,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,0,0
04188c5c,"Monday June 21, 2021",21:00,Russia,a,Thomas Delaney,8.0,DM,29-291,85,0,0,0,0,0,0,0,,0,18,5,27.8,2,12,4,2,1,0,1,2,2,2,0
04188c5c,"Monday June 21, 2021",21:00,Russia,a,Mathias Jensen,24.0,DM,25-171,5,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,0,0
04188c5c,"Monday June 21, 2021",21:00,Russia,a,Pierre Højbjerg,23.0,DM,25-320,90,0,0,0,0,0,0,1,0.0,1,6,2,33.3,2,4,0,1,0,0,1,0,0,1,0
04188c5c,"Monday June 21, 2021",21:00,Russia,a,Joakim Mæhle,5.0,WB,24-032,90,1,1,1,0,0,0,0,,0,8,4,50.0,3,2,3,3,0,0,3,0,1,1,0
04188c5c,"Monday June 21, 2021",21:00,Russia,a,Daniel Wass,18.0,WB,32-021,59,1,0,1,0,0,0,1,0.0,1,5,1,20.0,2,3,0,0,0,0,0,0,1,1,0
04188c5c,"Monday June 21, 2021",21:00,Russia,a,Jens Stryger Larsen,17.0,WB,30-120,31,0,0,0,0,0,0,0,,0,1,0,0.0,1,0,0,0,0,0,0,0,0,0,0
04188c5c,"Monday June 21, 2021",21:00,Russia,a,Jannik Vestergaard,3.0,CB,28-322,90,2,1,0,2,0,0,0,,0,7,5,71.4,2,4,1,0,0,0,0,0,2,6,0
04188c5c,"Monday June 21, 2021",21:00,Russia,a,Simon Kjær,4.0,CB,32-087,90,1,0,0,1,0,0,0,,0,6,3,50.0,2,4,0,1,0,0,1,0,1,5,0
04188c5c,"Monday June 21, 2021",21:00,Russia,a,Andreas Christensen,6.0,CB,25-072,90,1,0,0,1,0,1,1,100.0,0,11,3,27.3,1,9,1,1,0,0,1,1,2,9,0
04188c5c,"Monday June 21, 2021",21:00,Russia,a,Kasper Schmeichel,1.0,GK,34-228,90,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,0,0
04188c5c,"Monday June 21, 2021",21:00,Russia,a,16 Players,,,,990,6,2,2,4,0,1,5,20.0,4,84,30,35.7,19,49,16,9,1,0,8,5,11,26,0
0e9919a5,"Sunday June 13, 2021",21:00,Netherlands,h,Memphis Depay,10.0,FW,27-120,89,0,0,0,0,0,0,1,0.0,1,15,7,46.7,1,1,13,0,0,0,0,0,0,0,0
0e9919a5,"Sunday June 13, 2021",21:00,Netherlands,h,Donyell Malen,18.0,FW,22-145,1,0,0,0,0,0,0,0,,0,1,1,100.0,0,0,1,0,0,0,0,0,0,0,0
0e9919a5,"Sunday June 13, 2021",21:00,Netherlands,h,Wout Weghorst,19.0,FW,28-310,87,3,2,1,1,1,0,0,,0,24,7,29.2,3,6,15,1,0,0,1,0,3,0,0
0e9919a5,"Sunday June 13, 2021",21:00,Netherlands,h,Luuk de Jong,9.0,FW,30-290,3,0,0,0,0,0,0,0,,0,1,1,100.0,0,0,1,0,0,0,0,0,0,0,0
