match_id,date,time,team_name,home_away,Player,#,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Press,Tkl,Int,Blocks,xG,npxG,xA,SCA,GCA,PassCmp,PassAtt,PassCmp%,PassProg,Carries,CarriesProg,DribSucc,DribAtt
027b11df,"Friday June 18, 2021",20:00,England,h,Harry Kane,9.0,FW,27-325,73,0,0,0,0,2,0,0,0,20,4,0,0,0,0.3,0.3,0.1,1,0,8,13,61.5,1,13,5,0,0
027b11df,"Friday June 18, 2021",20:00,England,h,Marcus Rashford,11.0,FW,23-230,17,0,0,0,0,0,0,0,0,8,0,0,0,0,0.0,0.0,0.0,0,0,6,6,100.0,0,5,0,0,0
027b11df,"Friday June 18, 2021",20:00,England,h,Raheem Sterling,10.0,"LW,RW",26-192,90,0,0,0,0,0,0,0,0,38,10,1,0,0,0.0,0.0,0.2,3,0,25,28,89.3,3,36,7,1,2
027b11df,"Friday June 18, 2021",20:00,England,h,Phil Foden,20.0,RW,21-021,62,0,0,0,0,1,0,0,0,39,10,0,0,1,0.0,0.0,0.0,1,0,24,31,77.4,0,26,3,2,3
027b11df,"Friday June 18, 2021",20:00,England,h,Jack Grealish,7.0,LW,25-281,28,0,0,0,0,0,0,0,0,22,5,0,0,0,0.0,0.0,0.0,0,0,13,16,81.3,3,19,6,1,1
027b11df,"Friday June 18, 2021",20:00,England,h,Mason Mount,19.0,"CM,AM",22-159,90,0,0,0,0,3,1,0,0,61,24,3,0,2,0.2,0.2,0.2,4,0,35,47,74.5,5,40,5,0,2
027b11df,"Friday June 18, 2021",20:00,England,h,Kalvin Phillips,14.0,"CM,DM",25-198,90,0,0,0,0,0,0,0,0,68,33,3,0,3,0.0,0.0,0.0,0,0,46,54,85.2,1,30,2,0,2
027b11df,"Friday June 18, 2021",20:00,England,h,Declan Rice,4.0,DM,22-155,90,0,0,0,0,0,0,0,0,74,11,1,0,3,0.0,0.0,0.0,1,0,63,66,95.5,4,51,8,0,1
027b11df,"Friday June 18, 2021",20:00,England,h,Luke Shaw,3.0,LB,25-341,90,0,0,0,0,1,0,0,0,87,3,2,0,1,0.0,0.0,0.0,2,0,69,79,87.3,8,59,13,0,0
027b11df,"Friday June 18, 2021",20:00,England,h,Tyrone Mings,15.0,CB,28-097,90,0,0,0,0,0,0,0,0,70,4,1,3,2,0.0,0.0,0.0,0,0,51,55,92.7,0,47,2,0,0
027b11df,"Friday June 18, 2021",20:00,England,h,John Stones,5.0,CB,27-021,90,0,0,0,0,1,0,0,0,76,3,0,0,3,0.2,0.2,0.0,1,0,63,64,98.4,3,52,2,1,1
027b11df,"Friday June 18, 2021",20:00,England,h,Reece James,24.0,RB,21-192,90,0,0,0,0,1,0,0,0,92,8,0,1,1,0.1,0.1,0.3,2,0,86,88,97.7,11,69,10,0,0
027b11df,"Friday June 18, 2021",20:00,England,h,Jordan Pickford,1.0,GK,27-103,90,0,0,0,0,0,0,0,0,35,0,0,0,0,0.0,0.0,0.0,0,0,23,32,71.9,0,15,0,0,0
027b11df,"Friday June 18, 2021",20:00,England,h,13 Players,,,,990,0,0,0,0,9,1,0,0,690,115,11,4,16,0.9,0.9,0.9,15,0,512,579,88.4,39,462,63,5,12
027b11df,"Friday June 18, 2021",20:00,England,a,Lyndon Dykes,9.0,FW,25-254,90,0,0,0,0,2,0,0,0,30,17,0,0,0,0.1,0.1,0.0,1,0,6,21,28.6,2,10,1,0,0
027b11df,"Friday June 18, 2021",20:00,England,a,Che Adams,10.0,FW,24-340,85,0,0,0,0,5,0,0,0,33,18,1,2,1,0.6,0.6,0.0,1,0,21,24,87.5,2,25,3,2,2
027b11df,"Friday June 18, 2021",20:00,England,a,Kevin Nisbet,19.0,FW,24-102,5,0,0,0,0,0,0,0,0,3,1,1,0,0,0.0,0.0,0.0,0,0,2,2,100.0,0,1,0,0,0
027b11df,"Friday June 18, 2021",20:00,England,a,John McGinn,7.0,AM,26-243,90,0,0,0,0,1,0,1,0,39,21,3,1,1,0.0,0.0,0.0,1,0,21,24,87.5,1,22,2,1,2
027b11df,"Friday June 18, 2021",20:00,England,a,Callum McGregor,8.0,DM,28-004,90,0,0,0,0,0,0,0,0,47,21,1,1,3,0.0,0.0,0.0,1,0,34,36,94.4,2,38,2,0,3
027b11df,"Friday June 18, 2021",20:00,England,a,Billy Gilmour,23.0,DM,20-007,75,0,0,0,0,0,0,0,0,51,20,3,0,1,0.0,0.0,0.0,0,0,40,46,87.0,1,29,4,0,0
027b11df,"Friday June 18, 2021",20:00,England,a,Stuart Armstrong,17.0,DM,29-080,15,0,0,0,0,0,0,0,0,11,3,0,1,0,0.0,0.0,0.0,0,0,8,9,88.9,1,8,1,0,0
027b11df,"Friday June 18, 2021",20:00,England,a,Andrew Robertson,3.0,WB,27-099,90,0,0,0,0,0,0,0,0,52,16,1,2,0,0.0,0.0,0.2,2,0,35,48,72.9,5,27,6,0,0
027b11df,"Friday June 18, 2021",20:00,England,a,Stephen O'Donnell,2.0,WB,29-038,90,0,0,0,0,1,1,1,0,43,19,2,2,0,0.0,0.0,0.2,3,0,29,34,85.3,5,25,0,0,0
027b11df,"Friday June 18, 2021",20:00,England,a,Kieran Tierney,6.0,CB,24-013,90,0,0,0,0,1,0,0,0,51,6,0,2,0,0.0,0.0,0.0,1,0,37,43,86.0,1,34,6,0,0
