Player,team_name,PTTBper90,PTPressper90,PTSwper90
Ján Greguš,Slovakia ,0.0,90.0,0.0
Kaan Ayhan,Turkey,0.0,5.0,4.5
Kacper Kozłowski,Poland ,0.0,8.333333333333332,1.6666666666666665
Kai Havertz,Germany ,0.5980066445182725,7.176079734219269,0.5980066445182725
Kalvin Phillips,England,0.2122641509433962,7.429245283018868,1.6981132075471697
Kamil Glik,Poland ,0.0,7.666666666666666,0.33333333333333337
Kamil Jóźwiak,Poland ,0.0,8.625,0.75
Karim Benzema,France,0.0,6.502890173410405,0.0
Karim Onisiwo,Austria ,0.0,0.0,0.0
Karol Linetty,Poland ,0.0,12.531645569620252,0.0
Karol Świderski,Poland ,0.0,4.969325153374233,0.5521472392638037
Kasper Dolberg,Denmark ,0.0,5.69620253164557,0.0
Kasper Schmeichel,Denmark ,0.0,0.8,2.4000000000000004
Kenan Karaman,Turkey,0.0,8.4375,0.0
Kevin De Bruyne,Belgium ,0.0,6.309963099630996,3.9852398523985237
Kevin Mbabu,Switzerland,0.0,7.5,1.25
Kevin Nisbet,Scotland ,0.0,11.25,0.0
Kevin Varga,Hungary ,0.0,15.0,0.0
Kevin Volland,Germany ,0.0,37.5,7.5
Kieffer Moore,Wales,0.0,7.5,0.625
Kieran Tierney,Scotland ,0.0,3.5,3.0
Kieran Trippier,England,0.0,5.679611650485437,2.1844660194174756
Kingsley Coman,France,0.0,12.999999999999998,1.0
Kire Ristevski,North Macedonia ,0.0,30.0,0.0
Koke,Spain,0.0,11.470588235294116,3.75
Konrad Laimer,Austria ,0.0,8.378378378378379,0.2702702702702703
Kristoffer Olsson,Sweden ,0.0,4.285714285714286,1.3392857142857142
Kyle Walker,England ,0.0,8.5,1.25
Kylian Mbappé,France,0.46153846153846156,5.076923076923077,0.6923076923076923
Lassi Lappalainen,Finland,0.0,11.25,0.0
Leander Dendoncker,Belgium ,0.0,4.832214765100671,0.0
Leandro Trossard,Belgium ,0.0,12.162162162162163,3.6486486486486487
Leo Väisänen,Finland ,0.0,0.0,0.0
Leon Goretzka,Germany ,0.6382978723404256,8.936170212765958,0.0
Leonardo Bonucci,Italy ,0.41379310344827586,2.689655172413793,2.896551724137931
Leonardo Spinazzola,Italy ,0.0,8.333333333333332,0.7142857142857142
Leroy Sané,Germany ,0.0,6.315789473684211,0.7894736842105263
Liam Cooper,Scotland,1.0,9.0,3.0
Lorenzo Insigne,Italy ,0.8108108108108109,11.621621621621623,4.594594594594595
Loris Benito,Switzerland,0.0,0.0,0.0
Louis Schaub,Austria ,0.0,6.0,0.0
Loïc Nego,Hungary,0.0,2.621359223300971,0.0
Lucas Digne,France ,0.0,15.9375,0.0
Lucas Hernández,France ,0.0,2.666666666666667,0.6666666666666667
Ludwig Augustinsson,Sweden ,0.0,6.446991404011461,1.5472779369627507
Luka Ivanušec,Croatia,0.0,1.3432835820895521,0.0
Luka Modrić,Croatia,0.0,9.869451697127937,5.404699738903394
Luke Shaw,England,0.5389221556886228,9.70059880239521,0.8083832335329341
Lukáš Haraslín,Slovakia,0.0,4.0,1.0
Lukáš Hrádecký,Finland,0.0,4.0,1.6666666666666665
Lukáš Masopust,Czech Republic,0.28213166144200624,6.771159874608151,0.8463949843260189
Luuk de Jong,Netherlands,0.0,37.5,0.0
Lyndon Dykes,Scotland ,0.0,8.372093023255815,0.6976744186046512
László Bénes,Slovakia,0.0,0.0,0.0
László Kleinheisler,Hungary,0.0,3.6437246963562755,0.728744939271255
Maarten Stekelenburg,Netherlands,0.0,0.75,0.5
Maciej Rybus,Poland,0.0,4.931506849315069,1.2328767123287672
Magomed Ozdoyev,Russia,0.0,6.0,2.142857142857143
Maksim Mukhin,Russia,0.0,7.758620689655173,1.5517241379310345
Manuel Akanji,Switzerland,0.0,6.352941176470588,1.0588235294117647
Manuel Locatelli,Italy ,0.4245283018867924,12.31132075471698,1.6981132075471697
Manuel Neuer,Germany ,0.0,1.75,1.0
Marcel Halstenberg,Germany ,0.0,6.428571428571428,0.0
Marcel Sabitzer,Austria ,0.46153846153846156,9.0,1.6153846153846152
Marcelo Brozović,Croatia,0.0,10.176678445229681,2.862190812720848
Marco Verratti,Italy ,0.3930131004366812,12.969432314410481,0.7860262008733624
Marcos Llorente,Spain,0.0,8.530805687203792,1.2796208530805686
Marcus Berg,Sweden ,0.0,7.584269662921348,0.5056179775280899
Marcus Danielsson,Sweden ,0.0,4.646739130434782,0.9782608695652174
Marcus Forss,Finland,0.0,11.25,0.0
Marcus Rashford,England,0.0,7.241379310344827,1.0344827586206897
Marcus Thuram,France,0.0,0.0,0.0
Marek Hamšík,Slovakia,0.0,10.941176470588236,5.294117647058823
Mario Gavranović,Switzerland,0.0,8.129032258064516,0.0
Mario Pašalić,Croatia ,0.0,9.375,1.875
Marko Arnautović,Austria ,0.0,9.539170506912443,0.0
Marlos,Ukraine ,0.0,9.72972972972973,1.2162162162162162
Marten de Roon,Netherlands,0.0,8.042553191489363,2.2978723404255317
Martin Braithwaite,Denmark ,0.0,8.513513513513514,0.6081081081081081
Martin Dúbravka,Slovakia,0.0,4.333333333333333,2.0
Martin Hinteregger,Austria ,0.0,6.461538461538461,0.46153846153846156
Martin Koscelník,Slovakia ,0.0,5.294117647058823,0.0
Mason Mount,England,0.6666666666666667,7.666666666666666,1.3333333333333335
Mateo Kovačić,Croatia,0.0,7.988165680473372,1.5976331360946745
Mateusz Klich,Poland ,0.0,10.285714285714285,0.0
Mathias Jensen,Denmark ,0.0,17.52212389380531,11.946902654867257
Mats Hummels,Germany ,0.27108433734939763,7.048192771084338,1.355421686746988
Matteo Pessina,Italy,0.0,6.206896551724138,0.0
Matthias Ginter,Germany ,0.0,5.4941860465116275,1.3081395348837208
Matthijs de Ligt,Netherlands,0.0,1.948051948051948,0.7792207792207793
Matvei Safonov,Russia,0.0,0.5,1.5
Matěj Vydra,Czech Republic,0.0,9.473684210526315,0.0
Memphis Depay,Netherlands,0.27692307692307694,8.861538461538462,4.153846153846154
Merih Demiral,Turkey,0.0,3.2,1.2000000000000002
Mert Müldür,Turkey,0.0,4.954128440366973,0.8256880733944955
Michael Gregoritsch,Austria,0.8256880733944955,5.779816513761468,0.0
Michal Krmenčík,Czech Republic,0.0,8.059701492537313,0.0
Michal Sadílek,Czech Republic ,0.0,0.0,0.0
Michal Ďuriš,Slovakia,0.0,3.214285714285714,0.0
Michy Batshuayi,Belgium ,0.0,12.0,0.0
Mikael Lustig,Sweden ,0.0,6.325878594249201,1.1501597444089455
Mikel Oyarzabal,Spain,0.0,6.428571428571428,3.6734693877551017
Mikkel Damsgaard,Denmark ,0.0,7.644787644787645,1.0424710424710424
Milan Ristovski,North Macedonia ,0.0,0.0,0.0
Milan Škriniar,Slovakia,0.0,4.333333333333333,3.0
Mislav Oršić,Croatia,0.0,3.333333333333333,0.0
Moussa Sissoko,France,0.0,4.864864864864865,2.4324324324324325
Mykola Matviyenko,Ukraine ,0.0,6.0,2.0625
Mykola Shaparenko,Ukraine ,0.0,11.214953271028037,2.2429906542056073
Mário Fernandes,Russia,0.0,3.5121951219512195,0.8780487804878049
N'Golo Kanté,France,0.0,9.0,1.1538461538461537
Nacer Chadli,Belgium,0.0,13.404255319148936,0.0
Nathan Aké,Netherlands,0.0,5.0,0.0
Nathan Patterson,Scotland ,0.0,12.857142857142856,0.0
Neco Williams,Wales,0.0,9.854014598540147,2.627737226277372
Nemanja Nikolić,Hungary,0.0,3.9705882352941178,0.0
Nico Elvedi,Switzerland,0.0,4.411764705882353,0.1764705882352941
Nicolai Boilesen,Denmark ,0.0,6.428571428571428,0.0
Nicolò Barella,Italy ,0.27108433734939763,7.3192771084337345,0.8132530120481928
Niklas Süle,Germany ,0.0,5.0,0.0
Nikola Vlašić,Croatia,0.4433497536945813,6.206896551724138,0.0
Nikolai Alho,Finland,0.0,0.0,0.0
